origen_wix_o_anterior,destino_actual,tipo,codigo
/,/,Página,200
/encuentra-tu-consulta-ideal,/servicios/,Redirección,301
/consulta-ideal,/servicios/,Redirección,301
/servicios/consulta-presencial/,/servicios/,Servicio retirado,301
/servicios/asesoria-de-lactancia/,/servicios/,Servicio retirado,301
/servicios/consulta-para-adulto-mayor/,/servicios/,Servicio retirado,301
/servicios/consulta-familiar/,/servicios/,Servicio retirado,301
/servicios/consulta-bienestar-composicion-corporal/,/servicios-consulta-bienestar-composicion-corporal.html,Servicio,200
/servicios/consulta-de-nutricion-hormonal/,/servicios-consulta-de-nutricion-hormonal.html,Servicio,200
/servicios/consulta-de-embarazo/,/servicios-consulta-de-embarazo.html,Servicio,200
/servicios/consulta-para-el-climaterio-y-menopausia/,/servicios-consulta-para-el-climaterio-y-menopausia.html,Servicio,200
/servicios/consulta-de-nutricion-y-sistema-inmune/,/servicios-consulta-de-nutricion-y-sistema-inmune.html,Servicio,200
/servicios/tanita-bioempedancia/,/servicios-tanita-bioempedancia.html,Servicio,200
/servicios/consulta-online/,/servicios-consulta-online-1.html,Servicio,200
/recetas/,/recetas.html,Recurso,200
/recomendaciones/,/recomendaciones.html,Recurso,200
/agendar/,/agendar.html,Aplicación,200
/gestionar-cita/,/gestionar-cita.html,Aplicación,200
